model,PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%
lr,0.5847258913533858,0.9018749032163706,0.49085891686788546,0.6184939091915836,0.7956810631229236
lgbm,0.6968068152221515,0.9289116769607045,0.6422473147893142,0.6854928017718716,0.840531561461794
xgb,0.687390239836737,0.923785671375483,0.6310077519379845,0.6755260243632336,0.8388704318936877
equal-voting,0.6921108813723849,0.9245403996147092,0.6403262809074688,0.686046511627907,0.8388704318936877
weighted-voting,0.7000294742810963,0.9303534548449774,0.6417462482946794,0.686046511627907,0.8477297895902547
