model,PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%
lr,0.561351354668486,0.89796326895974,0.48122344944774853,0.5980066445182725,0.7868217054263565
lgbm,0.6621170114977056,0.9177960421628807,0.6164241164241164,0.6578073089700996,0.8217054263565892
xgb,0.6524375624368313,0.9164341650732156,0.609271523178808,0.654485049833887,0.8178294573643411
equal-voting,0.66235370930977,0.919354740856071,0.6158714703018501,0.6666666666666666,0.8244739756367664
weighted-voting,0.6658040709822998,0.9215550314440403,0.6153453989293908,0.6633444075304541,0.8289036544850499
