model,PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%
lr,0.5837841221018533,0.9019854625908484,0.49113749784890726,0.6173864894795127,0.7967884828349945
lgbm,0.6950856994159087,0.9287324965573153,0.6458218040951854,0.6821705426356589,0.8416389811738649
xgb,0.6873654739085784,0.9237807824953115,0.6306539157405014,0.6755260243632336,0.8388704318936877
equal-voting,0.6913579688941318,0.9243536208312946,0.6374298827129016,0.6854928017718716,0.8394241417497231
weighted-voting,0.6987788123979414,0.9300727860014043,0.6431886431886432,0.6849390919158361,0.8488372093023255
