threshold,precision,recall,f1
0.0,0.08764012228854273,1.0,0.16115647169053673
0.01,0.10614128505502307,0.9933554817275747,0.19178960872354073
0.02,0.13289809395167343,0.9806201550387597,0.23407348665080624
0.03,0.15856198496785293,0.969545957918051,0.2725503930266947
0.04,0.1804236669101534,0.9573643410852714,0.30362630608481866
0.05,0.19918176504967855,0.9435215946843853,0.3289257793649262
0.06,0.21798682000258432,0.9341085271317829,0.3534834992142483
0.07,0.2343618513323983,0.925249169435216,0.37399283795881827
0.08,0.2496967859308672,0.9119601328903655,0.3920495120209474
0.09,0.26283300844704355,0.8959025470653378,0.4064305450891736
0.1,0.2796299528713563,0.8870431893687708,0.4252156602521566
0.11,0.29269642198450757,0.8787375415282392,0.43912562257886
0.12,0.30537173997664463,0.8687707641196013,0.45190092165898615
0.13,0.3155329949238579,0.8604651162790697,0.46174416877135643
0.14,0.3260593220338983,0.8521594684385382,0.47165185412197363
0.15,0.33701169719708673,0.845514950166113,0.48193151333438533
0.16,0.34605714285714284,0.8383167220376523,0.4898883675780618
0.17,0.3553875236294896,0.832779623477298,0.49817820470354424
0.18,0.36552567237163813,0.8277962347729789,0.507123473541384
0.19,0.3735820519284094,0.8205980066445183,0.5134245626190889
0.2,0.38393322900365157,0.8150609080841639,0.5219858156028369
0.21,0.3914209115281501,0.8084163898117387,0.5274566473988439
0.22,0.3989566172432729,0.8045404208194906,0.5334067547723935
0.23,0.40608279357927346,0.7984496124031008,0.5383610229606123
0.24,0.4144222415291051,0.792358803986711,0.5442099258414147
0.25,0.41984056687333926,0.7873754152823921,0.5476603119584056
0.26,0.4282253179890975,0.7829457364341085,0.5536413469068129
0.27,0.4363919129082426,0.7768549280177187,0.5588528181637125
0.28,0.4450479233226837,0.7713178294573644,0.5644246353322528
0.29,0.45287958115183247,0.7663344407530454,0.5693130399012752
0.3,0.4589018302828619,0.7635658914728682,0.5732695905217211
0.31,0.46553480475382003,0.7591362126245847,0.5771416543885498
0.32,0.4702833448514167,0.7535991140642303,0.5791489361702128
0.33,0.47746478873239434,0.7508305647840532,0.5837279380111924
0.34,0.48256023013304566,0.743078626799557,0.5851318944844125
0.35000000000000003,0.4881430134987231,0.7408637873754153,0.5885199032329008
0.36,0.49609229624116113,0.7380952380952381,0.5933674604941019
0.37,0.5007575757575757,0.7320044296788483,0.5946918578497525
0.38,0.5075493612078978,0.7259136212624585,0.5974025974025974
0.39,0.5154394299287411,0.7209302325581395,0.6011080332409973
0.4,0.5195171026156942,0.7148394241417497,0.6017245397343277
0.41000000000000003,0.5233224222585925,0.7081949058693244,0.6018823529411764
0.42,0.529338327091136,0.7043189368770764,0.6044191019244476
0.43,0.5373831775700935,0.7004429678848284,0.6081730769230769
0.44,0.5389247311827957,0.6937984496124031,0.6066327765674171
0.45,0.5431560592850916,0.689922480620155,0.6078048780487805
0.46,0.5476295968099246,0.6843853820598007,0.6084174255476249
0.47000000000000003,0.5561085972850679,0.6805094130675526,0.6120517928286853
0.48,0.5626151012891344,0.6766334440753046,0.6143790849673203
0.49,0.5665735567970205,0.6738648947951273,0.6155791603439554
0.5,0.5701464336324988,0.668327796234773,0.6153453989293908
0.51,0.5785920925747348,0.6644518272425249,0.6185567010309279
0.52,0.585377821393523,0.6605758582502769,0.6207075962539021
0.53,0.5905707196029777,0.6589147286821705,0.6228735933001832
0.54,0.5957661290322581,0.654485049833887,0.6237467018469657
0.55,0.6021560574948666,0.6495016611295681,0.6249334043686734
0.56,0.6059498956158664,0.6428571428571429,0.6238581407845244
0.5700000000000001,0.6123535676251332,0.636766334440753,0.6243213897937026
0.58,0.6210070384407147,0.6351052048726468,0.6279770052012045
0.59,0.6265857694429123,0.6290143964562569,0.6277977341807129
0.6,0.6315199102636007,0.6234772978959026,0.6274728336584007
0.61,0.6417910447761194,0.6190476190476191,0.6302142051860203
0.62,0.6481264637002342,0.6129568106312292,0.6300512236767217
0.63,0.6506524317912218,0.6074197120708749,0.6282932416953035
0.64,0.6571774682010902,0.6007751937984496,0.6277118889210298
0.65,0.6615384615384615,0.5952380952380952,0.6266394637132031
0.66,0.6672955974842767,0.5874861572535991,0.6248527679623086
0.67,0.6717850287907869,0.5813953488372093,0.6233303650934996
0.68,0.6761842959117457,0.5769656699889258,0.622647146698536
0.6900000000000001,0.6829913964262078,0.5714285714285714,0.622249020198975
0.7000000000000001,0.6894915254237288,0.5631229235880398,0.6199329472721731
0.71,0.6954419889502762,0.5575858250276855,0.6189305470190535
0.72,0.7014820042342979,0.5503875968992248,0.6168166304685077
0.73,0.7086956521739131,0.5415282392026578,0.6139359698681732
0.74,0.7182156133828996,0.5348837209302325,0.6131386861313869
0.75,0.7224334600760456,0.5260243632336655,0.6087792374239026
0.76,0.7248062015503876,0.517718715393134,0.6040051679586563
0.77,0.7273449920508744,0.5066445182724253,0.5972584856396866
0.78,0.7337133550488599,0.4988925802879291,0.5939353988134476
0.79,0.7397489539748954,0.4894795127353267,0.5891369543485505
0.8,0.742540494458653,0.482281284606866,0.5847599865726754
0.81,0.7508802816901409,0.47231450719822815,0.5798776342624066
0.8200000000000001,0.7588717015468608,0.46179401993355484,0.5741824440619622
0.8300000000000001,0.7679924242424242,0.44905869324473974,0.5667365478686234
0.84,0.7784313725490196,0.43964562569213733,0.5619249823071479
0.85,0.7800616649537513,0.420265780730897,0.5462396545519971
0.86,0.7855626326963907,0.4097452934662237,0.5385735080058224
0.87,0.7969094922737306,0.3997785160575858,0.532448377581121
0.88,0.8091334894613583,0.38261351052048725,0.5195488721804511
0.89,0.8147699757869249,0.37264673311184937,0.5113981762917933
0.9,0.8244274809160306,0.3588039867109635,0.5
0.91,0.8294993234100135,0.33942414174972313,0.4817288801571709
0.92,0.8374816983894583,0.3167220376522702,0.45962233828846927
0.93,0.8452012383900929,0.3023255813953488,0.4453507340946166
0.9400000000000001,0.8561643835616438,0.2768549280177187,0.41841004184100417
0.9500000000000001,0.8869395711500975,0.25193798449612403,0.39241052177662783
0.96,0.8953229398663697,0.22259136212624583,0.3565410199556541
0.97,0.914364640883978,0.18327796234772978,0.3053505535055351
0.98,0.9213483146067416,0.1362126245847176,0.23733719247467439
0.99,0.9605263157894737,0.08084163898117387,0.1491317671092952
1.0,1.0,0.0,0.0
