PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%,scaler,model,fold
0.5197787346943027,0.8803649645251123,0.45,0.5623268698060941,0.7423822714681441,standard,lr,1
0.552348527818975,0.8879378746914306,0.4672268907563025,0.5828729281767956,0.7651933701657458,standard,lr,2
0.5763932570521118,0.9082292096422466,0.47547797173732337,0.6204986149584487,0.7867036011080333,standard,lr,3
0.5952909969636285,0.9092628337360759,0.4919966301600674,0.6232686980609419,0.8088642659279779,standard,lr,4
0.5575005864361415,0.8950831024930745,0.48053024026512015,0.6149584487534626,0.7867036011080333,standard,lr,5
0.627461683706265,0.9085165508966865,0.6005361930294906,0.6398891966759003,0.7811634349030471,standard,lgbm,1
0.672877311034954,0.913095098154461,0.6188579017264276,0.6519337016574586,0.8259668508287292,standard,lgbm,2
0.6689506342972316,0.9234668768786468,0.6180904522613065,0.667590027700831,0.8310249307479224,standard,lgbm,3
0.6780203325552129,0.9269420050686628,0.625503355704698,0.6537396121883656,0.8393351800554016,standard,lgbm,4
0.666781306073971,0.9195379265633287,0.6394904458598726,0.6869806094182825,0.8282548476454293,standard,lgbm,5
0.5195556473755558,0.8802007187043583,0.454469507101086,0.5623268698060941,0.739612188365651,robust,lr,1
0.5530286269430251,0.889780474903021,0.468013468013468,0.5939226519337016,0.7679558011049724,robust,lr,2
0.5767994058380445,0.9081408027347204,0.47626977518734387,0.6177285318559557,0.7867036011080333,robust,lr,3
0.5945236722879291,0.9101469028113396,0.4916387959866221,0.6066481994459834,0.814404432132964,robust,lr,4
0.556836527085443,0.8955848116932871,0.47146401985111663,0.6177285318559557,0.7839335180055401,robust,lr,5
0.6283793820284893,0.9087316171731893,0.6016260162601627,0.6426592797783933,0.7977839335180056,robust,lgbm,1
0.6774952182078059,0.9171366227812391,0.6060606060606061,0.6546961325966851,0.8425414364640884,robust,lgbm,2
0.6707161296722458,0.9236709494901868,0.6245259165613148,0.6731301939058172,0.8088642659279779,robust,lgbm,3
0.6684181677837597,0.9241829728296105,0.6106666666666667,0.6454293628808865,0.8476454293628809,robust,lgbm,4
0.6594108504893207,0.9186059704131548,0.6325224071702945,0.6759002770083102,0.817174515235457,robust,lgbm,5
