model,PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%
lr,0.5693871954119478,0.898459519748219,0.4840698869475848,0.6052048726467331,0.7884828349944629
lgbm,0.6829004306028847,0.92409833882331,0.6366648260629486,0.6705426356589147,0.8338870431893688
xgb,0.6686321467909369,0.9193752388114885,0.6122554067971163,0.6561461794019934,0.831672203765227
equal-voting,0.6766802609954482,0.921149431096329,0.6218062231216798,0.6716500553709857,0.8305647840531561
weighted-voting,0.6850414279001569,0.9256624270651233,0.6339994525047906,0.6699889258028793,0.8410852713178295
