PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%,strategy,fold
0.627461683706265,0.9085165508966865,0.6005361930294906,0.6398891966759003,0.7811634349030471,baseline,1
0.672877311034954,0.913095098154461,0.6188579017264276,0.6519337016574586,0.8259668508287292,baseline,2
0.6689506342972316,0.9234668768786468,0.6180904522613065,0.667590027700831,0.8310249307479224,baseline,3
0.6780203325552129,0.9269420050686628,0.625503355704698,0.6537396121883656,0.8393351800554016,baseline,4
0.666781306073971,0.9195379265633287,0.6394904458598726,0.6869806094182825,0.8282548476454293,baseline,5
0.6193823537387516,0.9061132589095992,0.567741935483871,0.6371191135734072,0.7867036011080333,SMOTE,1
0.6574751421278668,0.9160896908428352,0.5737976782752903,0.6325966850828729,0.8370165745856354,SMOTE,2
0.6783711580708556,0.9283815642128839,0.6220095693779905,0.6731301939058172,0.8365650969529086,SMOTE,3
0.6847691747683714,0.931729239111216,0.6043405676126878,0.6786703601108033,0.8587257617728532,SMOTE,4
0.6636107645845917,0.9222151824129192,0.609642301710731,0.6952908587257618,0.8393351800554016,SMOTE,5
0.6160562116683832,0.9054260779644713,0.5826771653543307,0.6204986149584487,0.8060941828254847,BorderlineSMOTE,1
0.6524796624047683,0.9150214529211239,0.5893719806763285,0.638121546961326,0.8314917127071824,BorderlineSMOTE,2
0.6837632869246797,0.924643425472977,0.6197183098591549,0.6759002770083102,0.8337950138504155,BorderlineSMOTE,3
0.688784543435457,0.935008398656215,0.5973597359735974,0.6925207756232687,0.8559556786703602,BorderlineSMOTE,4
0.6583917347896395,0.9222129722402311,0.6118012422360248,0.6925207756232687,0.8365650969529086,BorderlineSMOTE,5
0.6202540842346898,0.9060594923404737,0.5718901453957996,0.6343490304709142,0.778393351800554,SMOTETomek,1
0.6611169253936927,0.9135528094510403,0.5676567656765676,0.6270718232044199,0.8121546961325967,SMOTETomek,2
0.6746063576480785,0.9258096599280957,0.6085578446909667,0.6731301939058172,0.8310249307479224,SMOTETomek,3
0.6841334133925704,0.930289679966995,0.5966666666666667,0.6869806094182825,0.8559556786703602,SMOTETomek,4
0.6583646035013503,0.9199630164436847,0.603125,0.6786703601108033,0.8337950138504155,SMOTETomek,5
