threshold,precision,recall,f1
0.0,0.08764012228854273,1.0,0.16115647169053673
0.01,0.1594574780058651,0.9634551495016611,0.27362792891964144
0.02,0.1939193805511273,0.9429678848283499,0.32168492633169626
0.03,0.21926042075003266,0.929125138427464,0.35479437572682104
0.04,0.24099197665937272,0.9147286821705426,0.38148019859138665
0.05,0.2570885474417868,0.8986710963455149,0.39980293139549206
0.06,0.2723259762308998,0.8881506090808416,0.41683991683991684
0.07,0.287865046254308,0.8787375415282392,0.43366580133898075
0.08,0.30017218289649894,0.8687707641196013,0.446182283520546
0.09,0.31262565339766785,0.8610188261351052,0.45870206489675514
0.1,0.32407407407407407,0.8527131782945736,0.4696553827386398
0.11,0.3340616124098755,0.8466223698781838,0.4790850697164343
0.12,0.3435722411831627,0.8361018826135105,0.48701822286727947
0.13,0.35154784240150094,0.8300110741971207,0.4939044481054366
0.14,0.3589432864760058,0.8200442967884828,0.4993256911665543
0.15,0.36966348568558516,0.8150609080841639,0.5086385625431928
0.16,0.37829457364341085,0.8106312292358804,0.5158562367864693
0.17,0.38575589091871854,0.8067552602436323,0.5219416084542361
0.18,0.3943432145771009,0.8028792912513842,0.5289075323727886
0.19,0.4017907106883044,0.7951273532668881,0.5338289962825279
0.2,0.4082450615516748,0.7895902547065338,0.5382147575014153
0.21,0.4150116822429907,0.7868217054263565,0.5434034416826004
0.22,0.42106833780960906,0.7812846068660022,0.5472173744425053
0.23,0.42708968883465526,0.7751937984496124,0.5507474429583006
0.24,0.43414481897627966,0.7702104097452934,0.5552894211576846
0.25,0.4411483253588517,0.7657807308970099,0.559805707346691
0.26,0.4459941615309763,0.7613510520487264,0.5624872161996318
0.27,0.4509545753785385,0.7585825027685493,0.5656482246077622
0.28,0.4572291177457229,0.7547065337763013,0.5694589513265093
0.29,0.4613814222524668,0.7508305647840532,0.5715489989462592
0.3,0.4680998613037448,0.7475083056478405,0.5756929637526652
0.31,0.4734794908062235,0.7414174972314507,0.5779024600776866
0.32,0.47574559827524254,0.7331118493909191,0.5770320331226847
0.33,0.4831378299120235,0.7297895902547066,0.5813850904278782
0.34,0.48901303538175045,0.7270210409745294,0.5847250055666889
0.35000000000000003,0.49262759924385635,0.721483942414175,0.5854864075488654
0.36,0.4976905311778291,0.7159468438538206,0.5871934604904632
0.37,0.50390625,0.7142857142857143,0.5909299129638113
0.38,0.5106127352823389,0.7059800664451827,0.5926098071113177
0.39,0.5146818923327896,0.698781838316722,0.5927665570690465
0.4,0.5222638368705784,0.694905869324474,0.5963411736754574
0.41000000000000003,0.5276955602536998,0.6910299003322259,0.5984176456485255
0.42,0.5341105354058722,0.6849390919158361,0.6001940805434255
0.43,0.5403508771929825,0.6821705426356589,0.6030347528144885
0.44,0.546714349575324,0.67718715393134,0.6049962898837496
0.45,0.5529304861426624,0.6738648947951273,0.6074369852757674
0.46,0.5610775661867162,0.6688815060908084,0.6102551149280121
0.47000000000000003,0.5680529300567108,0.6655592469545958,0.6129525752167262
0.48,0.5746519443110898,0.6627906976744186,0.6155824119310876
0.49,0.582476749877631,0.6589147286821705,0.6183424266043128
0.5,0.5879148093115404,0.6572535991140642,0.6206535947712418
0.51,0.59175465057818,0.6517165005537099,0.6202898550724638
0.52,0.5991820040899796,0.6489479512735327,0.6230728335991493
0.53,0.6043613707165109,0.6445182724252492,0.6237942122186495
0.54,0.6116402116402117,0.6400885935769657,0.6255411255411255
0.55,0.6165775401069519,0.6384274640088593,0.6273122959738846
0.56,0.6228260869565218,0.6345514950166113,0.6286341195831048
0.5700000000000001,0.6291574279379157,0.6284606866002215,0.628808864265928
0.58,0.6357466063348416,0.6223698781838317,0.6289871292669278
0.59,0.6371986222732492,0.6146179401993356,0.6257046223224352
0.6,0.6428988895382817,0.6090808416389811,0.6255331248222917
0.61,0.6443390634262004,0.6018826135105205,0.6223876324076725
0.62,0.65,0.597452934662237,0.6226197345643393
0.63,0.6536346976175932,0.592469545957918,0.6215509729886727
0.64,0.6594292803970223,0.5885935769656699,0.6220011702750147
0.65,0.6626809314033983,0.5830564784053156,0.6203240058910162
0.66,0.6679462571976967,0.5780730897009967,0.6197684772929652
0.67,0.6746909564085881,0.5741971207087486,0.6204008375710439
0.68,0.6785478547854785,0.5692137320044297,0.619090635350798
0.6900000000000001,0.6836803223640027,0.5636766334440753,0.6179059180576632
0.7000000000000001,0.6885694729637235,0.5570321151716501,0.615855524946434
0.71,0.6942321056289089,0.553156146179402,0.6157164869029276
0.72,0.6973777462792345,0.5448504983388704,0.6117500777121542
0.73,0.7029774872912128,0.5359911406423035,0.6082312284008796
0.74,0.7065779748706578,0.5293466223698782,0.6052548274770497
0.75,0.7112622826908541,0.5210409745293466,0.6014701182486417
0.76,0.7152777777777778,0.5132890365448505,0.597678916827853
0.77,0.721298495645289,0.5044296788482835,0.5936787227109808
0.78,0.7254264825345248,0.4944629014396456,0.5880803424432005
0.79,0.7308333333333333,0.4856035437430786,0.5834996673320026
0.8,0.7366185216652507,0.48006644518272423,0.5812939993295341
0.81,0.7434782608695653,0.473421926910299,0.5784844384303113
0.8200000000000001,0.7493333333333333,0.46677740863787376,0.5752302968270215
0.8300000000000001,0.7541284403669725,0.45514950166112955,0.5676795580110497
0.84,0.759469696969697,0.4440753045404208,0.5604472396925227
0.85,0.7674190382728164,0.4330011074197121,0.5536283185840708
0.86,0.7740286298568507,0.41915836101882614,0.5438218390804598
0.87,0.7841880341880342,0.4064230343300111,0.5353756382202771
0.88,0.7904656319290465,0.3947951273532669,0.5265878877400295
0.89,0.7977142857142857,0.3864894795127353,0.5207012308839986
0.9,0.8009650180940893,0.36766334440753046,0.5039848197343454
0.91,0.8122605363984674,0.3521594684385382,0.49130938586326767
0.92,0.8274456521739131,0.3372093023255814,0.47915027537372146
