model,PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%
lr,0.561351354668486,0.89796326895974,0.48122344944774853,0.5980066445182725,0.7868217054263565
lgbm,0.6650634642703012,0.9215862201434467,0.6238532110091743,0.6650055370985604,0.8266888150609081
xgb,0.6524375624368313,0.9164341650732156,0.609271523178808,0.654485049833887,0.8178294573643411
equal-voting,0.6620137261312957,0.9193256726348114,0.6206380857427717,0.6710963455149501,0.8255813953488372
weighted-voting,0.6678052446591282,0.923575081389547,0.6233974358974359,0.6650055370985604,0.8344407530454042
