model,PR-AUC,ROC-AUC,F1,Recall@Top10%,Recall@Top20%
lr,0.5573261521726091,0.8959594171111867,0.4730248872557207,0.5946843853820598,0.778516057585825
lgbm,0.6606928842364598,0.9179627942082438,0.6206535947712418,0.6611295681063123,0.8200442967884828
xgb,0.6555998191584927,0.917737905720361,0.607704004054739,0.6561461794019934,0.8205980066445183
equal-voting,0.6612960711181446,0.9185031921736921,0.615496368038741,0.6688815060908084,0.8272425249169435
weighted-voting,0.6653634708569305,0.9217705544867757,0.6218097447795824,0.6661129568106312,0.8261351052048727
